field,name,ra,dec
1,crab913,81.68348399999999,27.3001333
2,crab1011,84.3545535,23.7912222
3,crab1012,84.36477899999998,25.5391944
4,crab1013,84.37530899999999,27.2871694
5,crab1109,86.885238,20.2829278
6,crab1110,86.92499999999998,22.0307556
7,crab1111,86.96897849999999,23.7785667
8,crab1112,87.01524149999999,25.5263667
9,crab1113,87.066813,27.2741417
10,crab1207,89.31250049999998,16.7751028
11,crab1208,89.37083399999999,18.5228417
12,crab1208,89.37083399999999,18.5228417
13,crab1210,89.50513799999999,22.0182333
14,crab1211,89.5821465,23.7658833
15,crab1212,89.66642549999999,25.5135
16,crab1213,89.75800349999999,27.2610778
17,crab1307,91.81143749999998,16.7629639
18,crab1308,91.89377849999998,18.5105861
19,crab1309,91.98531599999998,20.2581639
20,crab1310,92.085066,22.0057028
21,crab1311,92.19605849999999,23.7531889
22,crab1312,92.31632099999999,25.5006278
23,crab1313,92.44787849999999,27.2480139
24,crab1407,94.30923299999999,16.7508444
25,crab1408,94.4155455,18.4983528
26,crab1409,94.53405,20.2458
27,crab1410,94.66476599999999,21.9931889
28,crab1411,94.80871649999999,23.7405167
29,crab1507,96.80687099999999,16.7387611
30,crab1508,96.93813299999998,18.48615
31,crab1509,97.08358349999999,20.2334722
32,crab1607,99.30434999999999,16.7267389
33,DLW_1,4.9999994999999995,61.0
34,DLW_2,30.982082999999996,64.6909722
35,DLW_4,85.02708299999999,22.853
